 ,Mg,Rg,a,ad,ag,al,an,b,begin,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,ntcf,ntch,nth,nto,nts,ntu,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,y,z
end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,15,16,12760,3228,940,318,398,8714,0,169,3056,3517,51361,63,147,8,1151,3726,129,12,17,155,488,16,0,125,385,50,10137,20403,64224,36,0,645,6809,415,8,3394,20,79,554,3090,2806,0,0,872,12,2876,661,367,169,7,0,2,10,72,6,14,17377,44,12253,319,2352,2676,2616,467,1420,4558,329,34,2,258,2811,174,4,1175,1457,2999,295,300,72063,110,160,751,59,418,6698,138,243,1127,175,92,196,117726,648,2911,1510,16107,2334,11743,2932,131,7185,236719,613,359,729
gb,0,0,144,34,8,0,5,26,0,0,81,376,369,0,0,0,103,218,100,10,2,0,10,0,0,0,14,0,28,17,985,0,0,4,114,50,4,13,5,24,0,70,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,156,0,161,2,26,80,4,8,14,0,0,0,0,0,37,0,0,2,12,8,0,0,880,0,0,137,2,6,22,0,2,14,0,0,2,870,2,27,1,195,3,315,62,0,51,3427,13,2,1
gc,0,0,4,0,2,0,9,12,0,0,3,74,34,0,0,0,2,30,6,16,0,2,0,0,0,0,2,0,29,21,207,0,0,6,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,34,0,10,14,2,0,2,0,0,0,0,0,14,0,0,0,4,2,0,0,221,0,0,104,0,0,0,0,0,2,0,0,0,299,0,8,2,22,0,36,32,0,4,808,2,0,0
gg,0,0,131,8,4,2,6,28,0,2,12,206,162,0,0,0,8,68,0,0,0,6,0,0,0,0,0,0,16,13,808,0,0,0,18,0,0,13,6,0,0,24,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,81,0,42,0,2,14,8,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,184,2,0,132,0,0,0,0,8,0,2,0,0,322,20,0,2,57,16,271,10,0,2,900,0,0,0
gi,0,0,428,40,17,0,43,83,0,0,85,728,803,4,4,0,510,531,2,0,0,35,0,0,0,0,84,0,85,106,2635,0,0,10,39,9,0,144,3,0,26,116,20,0,0,8,0,29,2,5,0,0,0,0,0,0,0,0,492,0,397,4,22,44,6,4,20,20,0,0,0,8,26,2,0,22,42,32,0,4,1269,4,0,308,4,14,74,0,14,14,6,0,8,2453,8,24,20,337,48,1105,62,1,22,5293,39,0,4
gm,0,0,102,53,2,0,25,32,0,0,8,120,132,0,0,0,250,56,0,0,0,10,0,37,0,0,30,0,59,86,2804,2,0,12,50,0,0,23,0,0,10,6,18,0,0,18,0,2,0,1,0,0,0,0,0,0,0,0,220,0,68,2,8,34,8,0,0,2,0,0,0,0,2,0,0,0,38,9,2,8,5012,0,0,60,0,0,24,0,0,1,2,0,7,458,0,16,2,92,4,241,40,0,0,1725,6,6,6
gp,0,0,37,26,0,0,2,0,0,0,8,99,90,0,0,0,6,74,0,0,0,0,0,0,0,0,2,0,54,15,256,0,0,6,34,0,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,131,0,0,7,0,0,0,0,0,0,0,0,6,2,0,0,4,10,0,0,204,0,0,4,0,12,8,0,0,0,0,0,0,215,0,4,0,12,0,104,30,0,4,444,6,2,0
i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,124,0,0,0
j,0,0,84,1,2,2,0,60,0,0,20,68,272,0,0,0,36,113,0,0,0,2,0,0,0,6,0,0,250,225,3845,0,0,0,23,0,0,64,8,0,3,458,8,0,0,26,0,37,6,6,0,0,0,0,0,0,0,0,329,0,107,0,0,29,0,0,4,8,0,0,0,0,4,2,0,6,15,272,4,0,302,0,0,27,0,0,4,0,0,0,4,0,2,904,8,2,8,137,2,171,3,0,8,876,10,0,2
k,0,0,1018,341,42,96,74,311,0,4,298,530,6016,2,40,2,453,318,8,0,0,10,2,2,0,2,117,0,298,371,5394,0,0,65,151,122,2,211,0,0,21,110,129,0,0,92,9,49,4,4,2,0,0,0,0,0,0,0,1782,1,2367,48,156,71,66,2,72,67,16,6,0,36,172,10,0,42,378,190,6,2,4494,36,42,70,6,30,6,2,150,94,16,2,2,9534,39,148,107,1527,423,1584,191,4,154,7422,88,14,38
l,0,0,14,6,0,0,4,6,0,0,10,20,291,0,0,0,46,59,0,0,0,0,28,0,0,0,0,2,47,61,107,0,0,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,22,2,0,0,0,2,0,6,0,0,0,4,0,0,0,4,0,0,0,0,253,4,0,8,0,2,8,0,0,4,0,0,0,230,2,6,2,44,10,50,32,0,2,1764,4,4,2
m,2,0,13472,766,1563,42,564,4172,0,34,759,2858,22366,78,22,6,8293,6745,326,24,10,331,28,34,0,219,820,0,13712,4977,121907,2,0,1349,11188,74,17,5525,15,20,1212,4102,737,0,0,401,0,2853,416,710,105,4,0,6,99,80,8,19,14793,8,7250,101,321,157861,32735,16681,163,427,56,14,4,44,421,43,4,230,786,2802,352,18,19698,258,13,142,18,104,354,180,26,887,34,1,39,46722,183,2712,2161,8388,437,7075,12440,44,472,155742,7293,248,127
mq,1,0,35959,1999,609,432,1363,10166,0,262,1840,3576,30746,21,112,22,4499,24867,114,36,39,349,170,52,0,46,283,17,7152,10424,191929,24,0,3582,2268,475,45,8733,113,39,3099,12557,1537,0,0,681,19,4808,1482,1438,469,15,4,15,8,115,10,32,38069,32,13569,242,2105,3215,703,734,559,2169,199,2,10,275,791,54,7,466,1990,4251,145,56,33705,495,51,265,70,197,1562,100,129,206,52,43,683,66770,651,4251,1421,15629,2789,16865,4249,48,1330,159388,1994,708,1499
n,9,10,143076,31427,5575,1802,18028,36543,0,909,34309,162940,414058,563,1224,339,56393,245177,1159,105,512,3069,3523,281,23,131,15249,204,78449,54122,878207,18,0,5975,47769,1804,158,79733,861,157,7233,66454,29081,0,0,7430,223,16226,2423,3507,1054,38,3,33,58,926,30,66,169115,315,171968,2993,18422,22404,10844,3359,8448,8789,1501,90,177,4312,21913,1996,39,4194,19420,33227,1962,2982,400856,3820,687,36619,1084,3430,16446,727,5075,5118,4101,989,8650,857390,9633,25035,11656,138859,17651,277168,50463,1213,19056,1794391,12080,9352,6759
nba,0,0,6,6,2,0,0,4,0,0,2,18,31,0,0,0,4,12,0,0,2,0,0,0,0,0,0,0,4,6,82,2,0,2,48,8,0,8,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,21,0,0,0,2,0,0,0,0,0,53,0,4,0,11,0,7,26,0,4,206,1,0,0
nbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
nf,0,0,1382,332,130,48,569,495,0,2,983,2679,5413,2,8,26,1921,3658,16,16,0,10,2,0,0,0,576,0,899,836,9320,0,0,825,1792,18,12,939,6,11,116,251,70,0,0,45,0,124,22,8,15,0,0,0,0,0,0,0,2255,2,2007,14,177,452,50,38,100,85,75,0,0,82,372,4,4,96,318,184,6,8,5216,26,39,2112,14,55,212,4,33,54,139,2,49,11009,59,240,184,1512,160,1719,1165,2,521,28069,355,229,60
ng,4,51,5254,757,1602,40,190,2965,0,18,1008,3205,14170,234,68,22,2488,6764,80,12,10,58,35,66,0,2,803,0,2568,1635,39678,4,0,845,8641,251,21,2731,17,12,553,4232,1840,0,0,456,12,895,194,128,36,6,0,7,1,17,8,3,7949,84,6395,123,1028,3480,635,338,309,840,41,2,2,91,5435,40,0,228,635,1953,172,38,11409,369,44,1354,20,74,1121,35,105,320,127,80,560,37736,220,970,2761,5200,386,5245,885,15,1015,85043,466,224,312
nhd,0,0,271,52,10,0,80,153,0,0,317,1271,763,4,0,10,640,229,34,0,0,8,0,0,0,0,121,0,70,119,4385,0,0,20,205,127,0,125,2,0,5,43,6,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,509,0,236,0,32,22,8,18,15,28,10,0,0,30,87,6,0,9,0,79,2,0,2702,18,30,1140,6,0,133,0,6,17,30,10,45,1782,18,22,14,614,8,636,277,0,115,11155,16,76,0
nhm,0,0,20,2,0,0,0,3,0,0,10,70,50,1,0,0,26,24,22,0,0,0,0,0,0,0,0,0,14,36,228,0,0,6,8,0,11,17,0,0,6,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,49,0,36,0,28,19,0,0,1,0,0,0,0,0,8,0,0,4,0,0,0,0,139,0,0,81,0,0,0,0,0,0,0,0,8,221,0,16,1,34,0,34,14,0,8,834,19,0,0
nis,0,0,3432,2326,198,23,333,5447,0,46,1770,9960,24277,2,114,0,1726,9488,28,2,31,80,57,10,1,43,56,17,6470,5955,41972,0,0,82,1756,34,2,9936,1032,3,970,44446,959,0,0,244,2,3273,169,491,44,1,0,0,1,75,0,3,8510,12,15292,271,567,749,177,93,731,328,44,5,3,192,1043,61,6,406,1921,5762,125,9,25220,8,3,3344,21,44,321,34,227,289,69,0,106,65283,1059,1222,292,9352,683,24062,1498,83,958,64819,868,148,66
nit,0,0,103,16,0,0,0,135,0,6,27,82,118,0,0,0,12,29,4,0,0,1,0,1,4,0,0,0,63,75,643,0,0,0,15,12,0,215,22,0,8,1584,102,0,0,4,0,6,0,9,3,0,0,0,0,0,0,0,83,0,49,0,4,3,0,0,9,2,0,0,0,0,5,0,2,14,16,44,0,0,395,0,0,50,0,0,0,0,2,2,0,0,0,589,8,13,7,97,0,244,19,0,6,813,26,0,0
nmc,0,0,23,10,0,0,0,10,0,0,35,196,94,0,0,0,32,45,19,1,0,0,0,0,0,0,4,0,7,9,278,0,0,20,12,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,80,0,0,12,0,2,4,2,0,0,0,0,5,0,0,2,0,0,0,0,274,0,0,135,0,6,0,0,0,4,0,0,0,357,0,10,0,9,0,22,58,0,14,953,9,0,0
nnd,0,0,1354,867,78,12,109,623,0,2,421,1804,5973,2,21,6,832,639,0,0,0,18,12,0,0,6,1415,2,1083,677,9474,0,0,123,355,11,0,1443,4,0,489,1070,3441,0,0,1351,63,267,5,141,36,0,0,0,0,0,0,1,2652,3,3044,51,255,104,22,18,136,40,6,8,4,88,254,32,0,112,401,469,63,0,4576,2,2,380,8,7,55,20,206,65,129,2,96,13242,118,254,492,2481,371,2149,307,2,145,13647,190,104,18
nnt,0,0,5527,2459,290,157,263,1900,0,113,2024,9944,30894,10,223,0,3244,3962,0,0,0,59,17,11,0,9,7018,22,3120,2390,35856,0,0,59,1898,21,24,4192,0,0,173,6737,98515,0,0,11275,1341,775,170,309,41,3,0,0,1,28,0,5,8889,50,27211,342,1272,954,297,125,493,820,52,10,5,265,1358,119,8,475,1874,6376,390,8,23068,6,33,1699,203,46,553,215,502,507,149,280,256,100729,1123,1424,796,9299,1245,12842,1645,83,688,103592,926,253,88
nr,0,24,5871,2310,417,172,213,2422,0,104,3120,18443,47469,3,359,14,8984,3507,6,0,7,62,30,4,0,16,220,16,3702,4125,39570,0,0,205,2605,56,6,2798,7,10,281,15587,13168,0,0,631,0,1197,125,176,96,4,2,11,3,44,6,6,12472,35,36070,413,3958,1468,238,152,899,1474,47,2,32,563,1219,132,30,1497,2763,10203,159,2,30974,26,36,8101,150,66,406,68,454,1089,281,88,728,130364,641,1622,6412,12957,1928,6968,5265,76,1246,144370,688,234,436
nr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
nrf,0,88,1209,378,192,24,77,666,0,12,682,3692,9422,6,48,2,1278,852,2,2,0,25,18,10,0,34,61,0,1007,892,12287,0,0,92,1313,35,0,2188,14,0,165,2047,459,0,0,608,0,594,100,94,45,1,0,1,3,2,0,3,2885,0,7024,104,520,450,44,41,197,331,11,4,2,71,322,66,2,417,402,3357,86,2,8373,12,10,826,145,24,104,30,89,166,65,8,112,20018,102,194,328,2324,276,1674,1101,8,202,19277,782,26,103
nrj,0,0,12,24,6,0,0,10,0,0,26,116,514,0,22,0,60,52,0,0,0,0,0,0,0,0,0,0,37,33,290,0,0,0,23,0,0,26,0,0,1,22,6,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,70,0,471,0,20,12,2,0,0,10,0,0,0,0,8,0,0,14,23,418,0,0,336,0,0,110,0,4,4,0,0,2,4,0,10,960,2,24,2,46,12,38,68,0,0,746,6,2,0
ns,0,2,9776,1507,1008,60,664,8207,0,53,1334,7988,19067,40,191,0,2002,11875,18,0,127,430,591,14,0,52,368,136,11767,8837,136428,9,0,897,6022,84,6,35472,205,2,3971,13528,2694,0,0,1616,84,34465,942,508,523,1,0,0,0,283,0,7,35127,6,11263,177,488,2131,455,141,1165,238,59,5,14,191,3883,808,0,762,5477,12825,329,10,28707,445,0,6068,12,106,162,37,331,168,101,20,847,46905,611,1469,945,8952,713,15951,2305,0,1623,77078,1935,109,236
nsf,0,0,2154,244,133,12,200,1155,0,18,354,3160,4270,12,38,0,619,2745,16,0,8,81,188,2,0,11,98,6,1127,2001,29083,14,0,171,750,14,0,4007,18,0,1412,6064,377,0,0,1545,0,1372,2422,571,81,0,0,0,0,168,0,16,5898,4,2318,18,212,168,19,22,330,54,6,10,0,29,635,147,0,182,1437,1528,16,0,8657,20,0,1085,6,28,32,2,80,44,34,8,277,10028,114,113,89,1597,136,2928,550,4,454,17178,889,12,41
nt,0,0,859,617,41,6,31,1665,0,19,241,2486,5768,1,39,0,685,1266,17,2,3,31,16,16,1,16,9,7,1040,2359,9595,1,0,33,234,9,2,1264,87,2,202,19854,613,0,0,92,1,839,114,963,35,0,0,0,8,235,0,4,3638,1,5588,80,60,69,54,3,154,23,5,0,1,25,340,12,0,94,352,3257,56,2,5591,46,1,817,0,2,14,2,55,58,14,0,15,18546,309,119,87,2031,133,4099,302,10,141,14425,182,1,27
ntc,0,0,276,51,37,4,4,246,0,6,82,563,1472,2,7,0,89,245,0,0,4,50,10,0,0,0,9,4,428,350,7351,0,0,25,145,0,7,651,11,1,60,701,68,0,0,71,0,302,24,117,24,0,1,0,1,1,0,0,1048,0,673,6,22,66,9,2,39,15,2,0,0,8,51,5,0,49,37,314,0,0,1239,2,0,372,0,0,4,0,54,28,7,0,0,2226,51,30,26,248,30,1427,72,1,45,2831,969,0,9
ntcb,0,0,18,12,0,0,0,9,0,0,1,78,93,0,3,0,5,30,0,0,0,0,0,0,0,0,0,0,10,26,150,0,0,0,0,0,0,2,1,0,0,114,3,0,0,1,0,267,10,48,1,1,0,0,0,0,0,0,105,0,87,1,0,12,3,0,7,1,0,0,0,0,3,2,0,4,6,38,1,0,113,0,0,27,0,0,0,0,1,1,0,0,0,173,7,2,1,10,3,66,10,0,0,264,14,0,1
ntcf,0,0,3,2,0,0,0,2,0,0,1,11,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,13,0,3,1,0,0,19,0,0,0
ntch,0,0,5,7,0,0,0,2,0,0,1,17,16,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,12,38,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,17,0,12,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,7,4,0,0,31,0,0,16,0,0,0,0,0,0,0,0,0,119,4,6,0,18,0,9,8,0,4,166,1,0,0
nth,0,0,20,4,1,0,2,28,0,0,1,48,71,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,122,33,147,0,0,0,17,4,0,0,0,0,2,227,29,0,0,0,0,12,0,9,0,0,0,0,1,0,0,0,111,0,64,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,18,25,1,0,162,0,0,44,0,0,0,4,0,0,0,0,0,393,9,2,3,92,2,232,5,0,6,561,8,0,0
nto,0,0,140,104,0,0,1,376,0,7,13,353,1128,0,10,0,40,60,0,0,0,0,3,0,0,0,1,0,163,401,1622,0,0,0,13,0,0,81,2,0,15,4357,31,0,0,2,0,246,3,315,0,0,0,0,0,127,0,0,613,0,947,14,1,2,1,1,31,2,0,0,0,0,24,1,0,2,22,694,9,0,637,0,0,170,0,0,0,0,3,3,0,0,0,3365,74,13,2,319,11,688,4,5,11,1598,11,3,0
nts,0,0,9,4,0,0,0,8,0,0,2,15,10,0,0,0,18,32,0,0,0,0,0,0,0,0,0,0,7,35,56,0,0,0,0,0,0,0,0,0,0,62,17,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,42,0,10,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,10,4,0,0,42,0,0,12,0,0,0,0,0,1,0,0,1,45,1,5,0,22,0,6,3,0,2,183,0,0,0
